"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C8";"C_Disc_D3.8mm_W2.6mm_P2.50mm";3;"100n";;;
2;"C3,C4";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"1u";;;
3;"C5,C7";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"22p";;;
4;"C6";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"1u";;;
5;"D1";"PhotoDiode_DIL2_4.3x4.65_RM5.08";1;"BPW34";;;
6;"J1";"SolderWirePad_single_0-8mmDrill";1;"Sgn";;;
7;"J3";"SolderWirePad_single_0-8mmDrill";1;"D_GND";;;
8;"J4";"SolderWirePad_single_0-8mmDrill";1;"12V";;;
9;"J5";"SolderWirePad_single_0-8mmDrill";1;"GND";;;
10;"R1,R6,R13,R16,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";5;"10k";;;
11;"R2,R10,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";3;"22k";;;
12;"R3,R4,R5,R9,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";5;"100k";;;
13;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"R";;;
14;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"2.2k";;;
15;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"82k";;;
16;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"12k";;;
17;"R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"18k";;;
18;"U1";"DIP-14_W7.62mm";1;"TL074";;;
19;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
