"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C1,C2,C8";"C_Disc_D3.8mm_W2.6mm_P2.50mm";36;"100n";;;
2;"R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R1,R6,R13,R16,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";60;"10k";;;
3;"R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R3,R4,R5,R9,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";60;"100k";;;
4;"R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R2,R10,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";36;"22k";;;
5;"C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C4";"C_Disc_D5.0mm_W2.5mm_P2.50mm";24;"1u";;;
6;"R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";12;"12k";;;
7;"C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6";"C_Disc_D3.8mm_W2.6mm_P2.50mm";12;"1u";;;
8;"J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5";"SolderWirePad_single_0-8mmDrill";12;"GND";;;
9;"R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";12;"18k";;;
10;"J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4";"SolderWirePad_single_0-8mmDrill";12;"12V";;;
11;"R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";12;"82k";;;
12;"J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1";"SolderWirePad_single_0-8mmDrill";12;"Sgn";;;
13;"C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C5,C7";"C_Disc_D3.8mm_W2.6mm_P2.50mm";24;"22p";;;
14;"R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";12;"2.2k";;;
15;"D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1";"PhotoDiode_DIL2_4.3x4.65_RM5.08";12;"BPW34";;;
16;"R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";12;"R";;;
17;"J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3";"SolderWirePad_single_0-8mmDrill";12;"D_GND";;;
18;"R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";12;"1k";;;
19;"U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1";"DIP-14_W7.62mm";12;"TL074";;;
