"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C5,C6";"C_Disc_D3.8mm_W2.6mm_P2.50mm";4;"100n";;;
2;"D1";"PhotoDiode_DIL2_4.3x4.65_RM5.08";1;"BPW34";;;
3;"J1";"SolderWirePad_single_0-8mmDrill";1;"Sgn";;;
4;"J3";"SolderWirePad_single_0-8mmDrill";1;"D_GND";;;
5;"J4";"SolderWirePad_single_0-8mmDrill";1;"5V";;;
6;"J5";"SolderWirePad_single_0-8mmDrill";1;"GND";;;
7;"U1";"DIP-14_W7.62mm";1;"MCP6004";;;
8;"J6";"SolderWirePad_single_0-8mmDrill";1;"D_EXT+";;;
9;"J2";"SolderWirePad_single_0-8mmDrill";1;"D_EXT-";;;
10;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"22k";;;
11;"R2,R6,R13,R15,R16,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";6;"10k";;;
12;"R3,R4,R5,R9,R14,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";6;"100k";;;
13;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"R";;;
14;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"2.2k";;;
15;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"39k";;;
16;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"4.7k";;;
17;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"1.5k";;;
18;"C3,C4";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"1u";;;
19;"C7";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"3p";;;
